阿姨,ā yí,maternal aunt
奶奶,nǎi nai,(informal) grandma (paternal grandmother)
南,nán,south
难,nán,difficult (to...)
难过,nán guò,to feel sad
年级,nián jí,grade
年轻,nián qīng,young
鸟,niǎo,bird
努力,nǔ lì,great effort
爬山,pá shān,to climb a mountain
盘子,pán zi,tray
胖,pàng,fat
啤酒,pí jiǔ,beer
葡萄,pú tao,grape
普通话,pǔ tōng huà,Mandarin (common language)
骑,qí,to ride (an animal or bike)
其实,qí shí,actually
其他,qí tā,other
奇怪,qí guài,strange
铅笔,qiān bǐ,(lead) pencil
清楚,qīng chu,clear
秋,qiū,a swing
裙子,qún zi,skirt
然后,rán hòu,after
热情,rè qíng,cordial
认为,rèn wéi,to believe
认真,rèn zhēn,conscientious
容易,róng yì,easy
如果,rú guǒ,if
伞,sǎn,umbrella
上网,shàng wǎng,to be on the internet
生气,shēng qì,angry
声音,shēng yīn,voice
使,shǐ,to make
世界,shì jiè,world
瘦,shòu,thin
舒服,shū fu,comfortable
叔叔,shū shu,father's younger brother
树,shù,tree
数学,shù xué,mathematics
刷,shuā,to brush
双,shuāng,two
水平,shuǐ píng,level (of achievement etc)
司机,sī jī,chauffeur
虽然,suī rán,although
太阳,tài yáng,sun
糖,táng,sugar
特别,tè bié,especially
疼,téng,(it) hurts
提高,tí gāo,to raise
体育,tǐ yù,sports
甜,tián,sweet
条,tiáo,strip
同事,tóng shì,colleague
同意,tóng yì,to agree
头发,tóu fa,hair (on the head)
突然,tū rán,sudden
图书馆,tú shū guǎn,library
腿,tuǐ,leg
完成,wán chéng,to complete
碗,wǎn,bowl
万,wàn,ten thousand
忘记,wàng jì,to forget
为了,wèi le,in order to
为什么,wèi shén me,why?
位,wèi,position
文化,wén huà,culture
西,xī,west
习惯,xí guàn,habit
洗手间,xǐ shǒu jiān,toilet
洗澡,xǐ zǎo,to bathe
夏,xià,summer
先,xiān,early
香蕉,xiāng jiāo,banana
相同,xiāng tóng,identical
相信,xiāng xìn,to be convinced (that sth is true)
像,xiàng,to resemble
小心,xiǎo xīn,to be careful
校长,xiào zhǎng,(college
鞋,xié,shoe
新闻,xīn wén,news
新鲜,xīn xiān,fresh (experience
信,xìn,letter
行李箱,xíng li xiāng,suitcase
兴趣,xìng qù,interest (desire to know about sth)
熊猫,xióng māo,panda
需要,xū yào,to need
选择,xuǎn zé,to select
眼镜,yǎn jìng,spectacles
要求,yāo qiú,to request
爷爷,yé ye,(informal) father's father
一定,yī dìng,surely
一共,yī gòng,altogether
一会儿,yī huì r,a while
一样,yī yàng,same
以后,yǐ hòu,after
以前,yǐ qián,before
以为,yǐ wéi,to believe
一般,yī bān,same
一边,yī biān,one side
一直,yī zhí,straight (in a straight line)
音乐,yīn yuè,music
银行,yín háng,bank
应该,yīng gāi,ought to
影响,yǐng xiǎng,an influence
用,yòng,to use
游戏,yóu xì,game
有名,yǒu míng,famous
又,yòu,(once) again
遇到,yù dào,to meet
愿意,yuàn yì,to wish
越,yuè,to exceed
月亮,yuè liang,moon
云,yún,cloud
站,zhàn,station
着急,zháo jí,to worry
照顾,zhào gu,to take care of
照片,zhào piàn,photograph
照相机,zhào xiàng jī,camera
只,zhī,classifier for birds and certain animals
只,zhǐ,but
终于,zhōng yú,at last
中间,zhōng jiān,between
种,zhǒng,abbr. for 物種|物种
重要,zhòng yào,important
周末,zhōu mò,weekend
主要,zhǔ yào,main
祝,zhù,to wish
注意,zhù yì,to take note of
字典,zì diǎn,dictionary
自己,zì jǐ,oneself
总是,zǒng shì,always
最近,zuì jìn,recent
作业,zuò yè,school assignment
作用,zuò yòng,to act on
